CLASSROOM_ID,STUDENT_ID,GRADE
1,2,64
1,3,64
1,4,61
1,5,65
1,7,98
1,8,98
1,9,97
1,11,84
1,12,64
1,16,81
1,17,70
1,18,90
1,19,61
1,21,89
1,27,68
1,29,68
1,30,63
1,33,67
2,1,77
2,2,77
2,3,64
2,4,68
2,6,88
2,7,86
2,8,95
2,9,86
2,13,94
2,14,67
2,16,88
2,17,94
2,18,65
2,20,81
2,21,92
2,22,96
2,25,99
2,27,88
2,28,87
2,29,75
2,30,88
2,31,64
2,34,61
3,2,67
3,3,64
3,4,77
3,5,88
3,6,69
3,9,79
3,10,90
3,11,66
3,15,65
3,16,62
3,18,78
3,19,91
3,20,66
3,21,90
3,22,84
3,23,78
3,24,72
3,25,74
3,26,88
3,27,92
3,28,91
3,31,89
3,32,79
4,2,70
4,5,95
4,7,73
4,9,83
4,10,76
4,11,95
4,13,72
4,14,80
4,15,82
4,20,87
4,21,100
4,22,74
4,23,67
4,24,75
4,28,85
4,30,91
4,31,82
4,32,82
4,33,79
4,35,87
5,2,99
5,3,76
5,6,90
5,7,88
5,9,83
5,12,89
5,15,94
5,17,68
5,18,80
5,19,61
5,20,76
5,21,74
5,22,80
5,23,83
5,24,68
5,25,88
5,29,61
5,30,80
5,32,87
5,33,86
5,34,61
5,35,72
6,2,87
6,3,98
6,7,78
6,9,62
6,11,66
6,12,78
6,13,66
6,17,78
6,18,62
6,20,83
6,21,87
6,22,63
6,24,85
6,25,88
6,29,70
6,30,73
6,31,88
6,32,64
6,33,71
7,5,93
7,6,73
7,7,86
7,8,67
7,9,91
7,10,96
7,12,69
7,15,81
7,16,73
7,17,88
7,19,63
7,20,89
7,21,72
7,26,81
7,29,60
7,30,64
7,31,100
7,32,68
7,33,66
7,34,68
7,35,79
8,2,66
8,3,86
8,5,96
8,6,93
8,7,71
8,10,75
8,11,79
8,12,86
8,13,96
8,14,60
8,17,77
8,19,63
8,20,68
8,22,89
8,24,100
8,25,90
8,26,79
8,28,85
8,29,80
8,30,60
8,31,75
8,32,91
8,33,64
8,35,94
9,1,96
9,2,76
9,3,69
9,6,88
9,10,97
9,12,69
9,14,95
9,15,67
9,18,73
9,19,77
9,20,95
9,21,87
9,22,93
9,23,90
9,25,87
9,27,88
9,28,99
9,31,79
9,32,90
9,35,76
10,1,97
10,4,99
10,6,84
10,8,61
10,9,75
10,13,100
10,20,90
10,21,97
10,22,79
10,23,91
10,24,71
10,25,72
10,27,88
10,28,88
10,29,96
10,30,97
10,31,93
10,35,77
11,37,64
11,38,68
11,39,88
11,41,84
11,42,99
11,43,96
11,45,95
11,48,78
11,51,61
11,52,71
11,54,76
11,56,71
11,57,65
11,60,85
12,36,62
12,37,80
12,38,95
12,39,60
12,40,99
12,41,64
12,42,82
12,43,69
12,45,86
12,46,92
12,47,86
12,48,84
12,49,94
12,53,71
12,54,93
12,55,71
12,56,99
12,58,86
13,36,90
13,37,68
13,40,77
13,41,100
13,42,74
13,43,64
13,44,96
13,46,73
13,47,72
13,48,97
13,49,84
13,52,88
13,54,71
13,56,60
13,57,97
13,58,81
13,59,63
13,60,63
14,38,81
14,41,84
14,44,63
14,45,82
14,47,60
14,48,90
14,49,81
14,50,75
14,54,61
14,57,97
14,58,82
15,36,71
15,38,75
15,39,80
15,40,78
15,41,89
15,42,90
15,44,86
15,45,89
15,47,63
15,48,100
15,50,69
15,52,77
15,53,60
15,55,93
15,57,71
15,58,61
15,59,90
15,60,62
16,36,76
16,38,78
16,39,72
16,40,74
16,41,64
16,43,99
16,47,100
16,50,99
16,52,76
16,53,93
16,57,82
16,58,88
16,60,62
17,36,62
17,37,91
17,39,68
17,40,88
17,41,99
17,42,65
17,46,64
17,47,89
17,48,92
17,49,61
17,50,73
17,51,69
17,54,99
17,56,96
17,57,89
17,58,60
17,59,93
17,60,61
18,37,97
18,38,96
18,40,77
18,41,100
18,43,76
18,44,70
18,45,91
18,47,61
18,48,73
18,49,82
18,52,74
18,53,82
18,55,72
18,56,88
18,57,74
18,59,72
18,60,98
19,36,73
19,37,64
19,38,81
19,39,75
19,42,72
19,43,93
19,44,67
19,45,76
19,46,62
19,48,65
19,49,79
19,50,67
19,54,84
19,55,64
19,58,77
19,60,76
20,36,81
20,37,93
20,41,89
20,42,100
20,43,60
20,45,77
20,47,67
20,48,96
20,49,89
20,51,93
20,53,60
20,55,80
20,56,100
20,57,90
20,58,96
20,59,64
21,63,92
21,64,99
21,65,87
21,66,92
21,67,66
21,69,74
21,70,100
22,61,98
22,63,89
22,64,64
22,65,97
22,67,84
22,69,73
22,70,83
22,72,93
23,61,97
23,65,66
23,68,67
23,71,61
23,72,94
24,63,74
24,64,91
24,65,96
24,68,86
24,69,81
24,70,83
24,71,88
25,61,86
25,64,76
25,65,68
25,67,72
25,68,68
25,70,62
25,71,64
26,61,78
26,62,79
26,64,87
26,66,87
26,67,93
26,68,69
26,70,93
26,72,83
27,61,88
27,63,96
27,65,72
27,66,77
27,67,88
27,69,64
27,70,68
27,71,74
28,63,82
28,64,62
28,66,75
28,67,70
28,68,70
28,69,94
28,70,72
28,71,79
29,62,69
29,63,76
29,66,68
29,67,96
29,69,66
29,70,84
30,61,81
30,63,68
30,64,95
30,65,72
30,67,87
30,68,69
30,69,79
30,70,76
30,72,64
