CLASSROOM_ID,TEACHER_ID,SUBJECT_ID,SEMESTER,YEAR
1,1,1,fall,2020
2,1,1,spring,2021
3,2,2,fall,2020
4,2,2,spring,2021
5,3,3,fall,2020
6,3,3,spring,2021
7,4,4,fall,2020
8,4,4,spring,2021
9,5,5,fall,2020
10,5,5,spring,2021
11,6,1,fall,2020
12,6,1,spring,2021
13,7,2,fall,2020
14,7,2,spring,2021
15,8,3,fall,2020
16,8,3,spring,2021
17,9,4,fall,2020
18,9,4,spring,2021
19,10,5,fall,2020
20,10,5,spring,2021
21,11,1,fall,2020
22,11,1,spring,2021
23,12,2,fall,2020
24,12,2,spring,2021
25,13,3,fall,2020
26,13,3,spring,2021
27,14,4,fall,2020
28,14,4,spring,2021
29,15,5,fall,2020
30,15,5,spring,2021
41,1,1,spring,2022
