STUDENT_ID,PERSON_ID,GRADE_LEVEL
1,7,6
2,8,8
3,9,8
4,10,8
5,11,6
6,12,7
7,13,8
8,14,7
9,15,7
10,16,7
11,17,7
12,18,6
13,19,7
14,20,6
15,21,7
16,22,7
17,23,8
18,24,7
19,25,7
20,26,6
21,27,7
22,28,8
23,29,8
24,30,6
25,31,7
26,32,7
27,33,7
28,34,8
29,35,7
30,36,8
31,37,6
32,38,8
33,39,7
34,40,7
35,41,7
36,48,6
37,49,7
38,50,6
39,51,8
40,52,6
41,53,6
42,54,6
43,55,7
44,56,7
45,57,7
46,58,8
47,59,7
48,60,7
49,61,7
50,62,7
51,63,7
52,64,7
53,65,7
54,66,7
55,67,8
56,68,7
57,69,6
58,70,6
59,71,7
60,72,6
61,79,8
62,80,7
63,81,7
64,82,6
65,83,8
66,84,6
67,85,7
68,86,7
69,87,8
70,88,6
71,89,7
72,90,7
